q01,q02,q03,q04,q05,q06_1,q06_02,q06_03,q06_04,q06_05,q06_06,q06_other,q07_a,q07_b,q07_c,q07a,q08,q08_a,q09,q09_01,q09_02,q09_03,AgeR
2,2,1,4,1,1,1,1,1,1,2, ,1,4,5, ,2, ,2, , , ,1
2,1,1,4,1,1,2,1,1,1,2, ,4,5,3, ,2, ,1,2,8,5,1
2,1,1,4,1,2,2,1,1,1,2, ,5,3,4, ,2, ,1,1,2,5,1
2,1,2,4,1,1,1,1,1,1,2,kik,5,4,1, ,2, ,2, , , ,1
2,1,2,4,1,1,1,1,1,1,2,Snap chat,3,5,1, ,2, ,2, , , ,1
2,1,1,4,1,1,2,1,1,1,2,snapchat,1,4,5, ,2, ,1,1,2,5,1
2,1,1,2,1,1, ,1,1,1, , ,5,4,1, ,2, ,2, , , ,1
2,1,1,4,1,1,2,1,1,1,2, ,1, , , ,2, ,1,9,1,2,1
2,4,1,3,2,2,2,2,2,1,2, ,5,3,4, ,2, ,1,2,3,5,2
2,2,2,4,1,2,2,1,1,1,2,tumblr/ask/BBM,5,3,4, ,2, ,1,2,8,5,1
2,3,1,4,1,1,2,1,1,1, , ,4,1,3, ,2, ,1,11,8,2,2
2,3,1,4,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,2,11,1,2
2,1,1,2,1,1,2,1,1,1,2, ,4,3,5, ,2, ,2, , , ,1
2,2,1,4,1,1,2,1,1,1,2, ,4,1,3, ,2, ,1,2,3,1,1
2,1,1,4,1,1,1,1,1,1,2,Tumblr,5,1,3, ,2, ,2, , , ,1
2,1,1,4,1,1,1,1,1,1,2,tumblr  weibo kik,4,3,1, ,1, ,1,1,5,6,1
2,3,1,2,1,2,2,1,1,1,2, ,5,3,4, ,2, ,1,1,2,11,2
2,1,1,4,1,1,2,1,1,1, , ,5,4,1, ,2, ,1,2,5,8,1
2,3,1,3,2,1,1,1,1,1,2, ,4,1,5, ,2, ,1,4,5,8,2
2,1,1,4,1,1,2,1,1,1,2, ,3,5,4, ,2, ,1,2,1,5,1
2,1,1,4,1,1,2,1,1,1,2,bbm,5,4,3, ,2, ,1,2,9,1,1
2,5,1,4,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,2, , ,2
2,1,1,2,1,2,2,1,1,1,2,bbm,4,5,3, ,2, ,1,2,5,1,1
2,6,1,3,2,1, ,1,1,1, , ,5,4,1, ,2, ,2, , , ,3
2,2,1,3,2,1,1,1,1,1,2, ,5,1,3, ,2, ,1,2,1,8,1
2,6,1,2,4,2,2,1,2,1,2, ,5,3,4, ,2,2,1,2,8,6,3
1,7,1,3,3,2,2,1,2,1,2, ,5,3, , ,2, ,2, , , ,3
2,1,1,4,1, , ,1,1,1, , ,5,4,3, ,2, ,1,2,5,1,1
2,1,1,4,1,1,2,1,1,1,2,bbm,5,1,4, ,2, ,1,2,2,1,1
2,2,1,4,1,1,2,1,1,1,2, ,5,3,4, ,2, ,1,2,5,8,1
1,6,1,4,2,1, , , ,1, , ,5,1, , ,2, ,2, , , ,3
1,1,1,2,1,2,2,1,1,1,2, ,3,5,1, ,2, ,2, , , ,1
1,1,1,2,1,2,2,1,1,1,2, ,3,4,5, ,2, ,2, , , ,1
2,2,1,2,1,1,2,1,1,1,2, ,4,3,1, ,2, ,1,2,1,5,1
2,4,1,4,4,1, ,1,1,1, , ,5,1,4, ,2, ,2, , , ,2
2,2,1,2,1,1,2,1,1,1,2, ,3,1,4, ,2, ,2, , , ,1
2,1,1,3,1,1,2,1,1,1,2, ,5,4,1, ,2, ,1,2,11,12,1
2,2,2,2,4,2,1,1,1,1,2, ,5,4,3, ,2, ,2, , , ,1
1,2,1,4,1,1,1,1,1,1, ,Kik /BBM /ask /Skype,5,1,3, ,2, ,2, , , ,1
2,2,1,4,4,2,2,1,1,1,2, ,5,4,3, ,2, ,1,8,2,11,1
2,2,1,2,1,2,2,1,1,1,2, ,5,3,4, ,2, ,1,2, , ,1
1,2,1,2,1,1,2,2,1,1,2, ,5,4,1, ,2, ,2, , , ,1
2,2,1,2,1,2,2,1,2,1,2, ,5,3, , ,2, ,2, , , ,1
2,3,1,3,2,2, , , ,1,2, ,4,3,1, ,2, ,2, , , ,2
2,2,1,4,1,1,2,1,1,1,2, ,5,4,1, ,2, ,1,8,2,5,1
1,2,1,2,4,1,2,1,1,1,2, ,4,5,1, ,2, ,1,1,2,3,1
1,2,1,4,1,1,1,1,1,1,2, ,4,5,3, ,2, ,1,2,12, ,1
2,1,1,4,1,1,2,1,1,1,2,Snapchat,5,1,4, ,2, ,1,8, , ,1
2,2,1,4,1,1,2,1,2,1,2,lineplay,1,3,5, ,2, ,1,2,6,9,1
2,2,1,4,1,2,2,1,1,1,2, ,5,3,4, ,2, ,2, , , ,1
2,5,1,4,2,2,2,1,1,1,2, ,5,3,4, ,2, ,1,2,1,9,2
2,2,1,4,1,2,2,1,2,1,2, ,5,3,1, ,2, ,2, , , ,1
2,3,1,4,1,1,2,1,1,1,2, ,5,1,3, ,2, ,2, , , ,2
2,2,1,3,2,1,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,5,1
2,4,1,4,2,1,2,1,1,1,1, ,1,4,5, ,1,1,2,1, , ,2
2,2,3,4,1,1,2,1,1,1,2, ,5,4,3, ,1, ,1,7,7,7,1
2,5,3,2,4,2,2,1,1,1,2, ,5,4,3, ,2, ,2, , , ,2
2,2,1,4,1,2,2,1,1,1,2,kik .. nimbuzz.. snapchat.. bbm,5,4,3, ,2, ,1,1,2,5,1
2,6,1,4,4,1, ,1,1,1, ,tango,5,4,1, ,2, ,2, , , ,3
1,1,1,2,1,1,2,1,1,1, , ,5,1,4, ,2, ,1,6,10,2,1
2,2,1,4,1,1,2,1,1,1,2,snapchat,5,1,4, ,2, ,1,1,2,5,1
1,2,1,4,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,3,1
2,2,1,4,1,1,2,1,1,1,2, ,5,4,3, ,2, ,2, , , ,1
2,2,1,4,1,1,2,1,1,1,2,Tumblr,5,1,3, ,1,1,1,1,2,8,1
1,2,1,4,1,2,2,1,1,1,2, ,5, , , ,2, ,2, , , ,1
1,2,1,4,2,1,2,1,1,1,2, ,5,4,1, ,2, ,1,1,3,6,1
2,1,1,4,1,1,2,1,1,1,2,ask - kik,1,5,3, ,2, ,1,2,1,4,1
1,2,1,4,4,1,2,1,1,1,2, ,1,4,5, ,2, ,1, , , ,1
1,3,1,4,2,2,1,1,1,1,2, ,5,4,3, ,2, ,2, , , ,2
1,3,1,4,2,2,2,1,1,1,2, ,5,3,4, ,2, ,2, , , ,2
1,1,1,3,1,1,1,1,1,1,2, ,3,4,5, ,2, ,1,3,1,6,1
2,2,1,4,1,2,2,1,1,1,2, ,5,4,3, ,2, ,1,2,1,5,1
1,2,1,2,2,1,2,1,1,1,2, ,5,4,1, ,2, ,2, , , ,1
1,3,1,4,2,1,1,1,1,1,2, ,5,4,3, ,2, ,1,5,8,3,2
2,2,1,3,2,1,1,1,1,1,2,snap chat,5,4,3, ,1,1,1,2,11,1,1
1,2,1,4,2,1,2,1,1,1,2, ,4,1,5, ,2, ,2, , , ,1
2,2,1,4,1,1,2,1,1,1,2, ,1,5,4, ,2, ,2, , , ,1
1,3,1,2,2,1,2,1,1,1,2, ,5,4,1, ,2, ,1,2,3,5,2
1,2,1,4,1,1,2,1,1,1,2, ,5,4,1, ,2, ,1,1,2,3,1
1,2,1,2,1,2,2,1,1,1,2, ,4,5, , ,2, ,1,1,6,8,1
1,2,1,4,1,1, ,1,1,1, ,Snapchat,4,1,5, ,2, ,1,1,5, ,1
1,2,1,3,1,1,2,1,1,1,2, ,5,4,3, ,1,2,1,2,3, ,1
1,1,1,4,1,2,2,1,1,1,2, ,5,3,4, ,2, ,2, , , ,1
2,2,1,4,1,2,2,1,1,1,2,ask.fm,5,3,4, ,2, ,1,1,8,5,1
2,1,1,4,1,1,2,1,1,1,2, ,1,5,4, ,1,10,1,2,3,11,1
1,2,1,4,2,1,1,1,1,1,2,Nothing,5,4,3, ,2, ,1,2,1,3,1
1,2,1,3,2,2,2,1,1,1,2, ,5,4,3, ,2, ,2, , , ,1
2,2,1,4,1,1,2,1,1,1,2,snapchat,1,5,3, ,2, ,2, , , ,1
1,2,1,4,2,1,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,10,1
2,2,1,4,1,1,2,1,1,1,2, ,5, , , ,2, ,1,1,2,11,1
2,2,1,4,1,1,2,1,1,1,2,snapchat,5, , , ,2, ,1,1,2,5,1
1,2,1,4,1,1,2,1,1,1, , ,4,6,1, ,2, ,2, , , ,1
2,1,1,2,1,1,2,1,1,1,2,Tumblr,5,4, , ,2, ,1,1,2,8,1
2,1,2,2,1,2,2,1,1,1,2, ,5,4,3, ,2,2,1,2,1,5,1
2,6,1,2,2,1,2,1,2,1,2, ,5,3,1, ,2, ,1,3,7,2,3
2,5,1,3,2,1, ,1,1,1, , ,4,5,1, ,2, ,1,2,5, ,2
2,7,1,3,3,1,2,1,1,1,2, ,5,1,4, ,2, ,2, , , ,3
2,1,3,4,1,1,2,1,1,1,2, ,5,3,4, ,2, ,1,2,1,4,1
2,4,1,2,2,1,2,1,1,1,2, ,4,5,4, ,2, ,2, , , ,2
2,1,1,2,1,1,2,1,1,1,2, ,5,1,3, ,2, ,1,1,2,11,1
2,1,1,3,1,1,1,1,1,1,2,Bbm,4,5,3, ,2,2,1,2,1,4,1
1,3,1,4,2,2,2,1,1,1,2, ,4,5,3, ,1, ,2, , , ,2
2,7,1,4,3,1, ,1,1,1, , ,5,1,3, ,2, ,1,5,3,1,3
2,1,1,4,1,1,2,1,1,1,2,snapchat,5,4,3, ,2, ,1,1,2, ,1
2,2,1,4,1,1,2,1,2,1,2,Tumblr,5,3,1, ,2, ,2, , , ,1
1,3,1,4,2,2,2,1,1,1,2, ,5,3,4, ,2, ,2, , , ,2
1,1,1,4,1,1,2,1,1,1,2, ,5,4,3, ,2, ,2, , , ,1
1,1,1,2,1,1,1,1,1,1,2, ,3,5,4, ,2, ,1,6, , ,1
2,3,1,3,2,1,1,1,1,1,2, ,4,5,1, ,1,1,1,2,1,8,2
2,1,1,2,1,1,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,11,1
2,2,1,4,1,1,2,1,1,1,2, ,5,1,4, ,2, ,1,1,2,5,1
2,2,1,4,1,1, ,1,1,1, , ,5,3,4, ,2, ,1,2,5,1,1
1,1,1,4,2,2,2,1,1,1,2, ,5,4,3, ,1, ,1,2,10,12,1
2,2,1,4,2,1, ,1,1,1, , ,5,4,1, ,2, ,1,2,1,8,1
2,1,1,2,1,1,2,1,1,1,2, ,1,5,4, ,2,11, ,1,11,2,1
2,1,1,2,1,1,2,1,1,1,2, ,5,1,3, ,2, ,2, , , ,1
2,7,1,4,3,2,2,2,2,1,2, , , , , ,2, ,2, , , ,3
2,1,1,2,1,1, , ,1,1, , ,4,5,1, ,2, ,2, , , ,1
1,3,1,4,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,12,5,3,2
2,3,1,4,2,2,2,2,1,1,2, ,5,4,2, ,2, ,2, , , ,2
2,2,1,3,2,1,1,1,1,1, , ,5,1,4, ,2, ,1,8,2,1,1
1,3,1,3,2,1,1,1,1,1,2, ,5,4,1, ,2, ,1,2,3,10,2
1,2,1,2,1,1,2,1,1,1,1, ,5,4,1, ,2, ,1,6,3,4,1
2,6,1,4,3,1, ,1,1,1, , ,5,4,1, ,1,8,2, , , ,3
2,2,1,4,1,1,2,1,1,1,2,"Viber , telegram",5,4,3, ,2, ,2, , , ,1
2,2,1,4,1,1,1,1,1,1,2,snapchat,3,4,1, ,2, ,2, , , ,1
2,1,1,2,1,1,2,1,1,1,2,Snapchat,5,1,4, ,1,1,1,2,1,5,1
2,1,1,4,1,2,2,1,1,1,2, ,4,5,3, ,2, ,1,1,2,8,1
1,2,1,4,2,2,2,1,1,1,2, ,3,5,4, ,2, ,2, , , ,1
2,1,1,4,1,1,2,1,1,1,2, ,3,4,1, ,2, ,1,8, , ,1
2,1,1,2,1,1,2,1,1,1,2, ,3,5,4, ,2, ,1,2,2,1,1
2,3,3,4,4,1,2,1,1,1,2, ,5,1,3, ,2, ,2, , , ,2
1,2,1,3,2,1,2,1,1,1,2,Snapchat,5,4,1, ,2, ,1,3,5,2,1
2,1,1,2,1,1,2,1,1,1,2,Snapchat,5,4,1, ,2, ,1,1,2,5,1
2,1,1,4,1,1,2,1,1,1,2, ,4,5,1, ,1,1,1,1,2,3,1
2,1,1,2,1,1,2,1,1,1,2, ,5,1,3, ,2, ,1,2,8,1,1
2,2,1,4,1,1,1,1,1,1,2, ,5,3,4, ,2, ,1,2, , ,1
1,2,1,2,1,1,2,1,1,1, ,Snapchat,5,4,1, ,2, ,1,1, , ,1
2,1,1,4,1,1,2,1,1,1,2, ,4,1,3, ,2, ,2, , , ,1
2,1,1,3,1,1,2,1,1,1,2, ,1,4,3, ,1,1,1,1,2,8,1
2,1,1,2,1,1,2,1,1,1,2, ,5,4,1, ,1,1,1,1,2,5,1
2,2,1,3,1,1,2,2,1,1,2, ,1,4,5, ,2, ,1,2,1,5,1
2,4,1,4,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,8,1,2,2
2,2,1,4,2,1, ,1,1,1, , ,5,4,3, ,1,8,1,1,2,5,1
1,2,1,4,2,1,1,1,1,1,2, ,4,5,2, ,2, ,2, , , ,1
2,1,1,2,1,1,2,1,1,1,2, ,5,1,4, ,2, ,2, , , ,1
1,2,1,4,2,1, ,1,1,1, , ,4,3,5, ,2, , , , , ,1
2,2,1,1,1,2,2,1,1,1,2, ,5,4,3, ,2, ,1,1,5,2,1
2,2,1,4,1,2,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,5,1
2,2,1,4,1,1,2,1,1,1,2, ,5,4,1, ,1,2,2, , , ,1
1,2,1,4,1,1,1,1,1,1,2, ,5,4,1, ,2, ,2, , , ,1
2,6,1,4,3,2,2,2,2,1,2, ,5,4, , ,2, ,2, , , ,3
2,3,1,3,2,1,2,2,1,1,2,snapchat,5,4,1, ,2, ,2, , , ,2
2,4,1,4,2,1,2,1,1,1,2, ,5,4,3, ,2, ,1,2,11,1,2
2,4,1,3,2,1,2,1,1,1,2, ,5,1,4, ,2, ,1,2,2,5,2
2,4,1,3,2,1,2,1,1,1,2, ,1,4,3, ,2, ,1,8,1,11,2
2,4,1,3,2,1,2,1,1,1,2, ,5,3,1, ,2, ,1,1,4,8,2
1,2,1,3,1,1,2,1,1,1,2, ,5,4,1, ,2, ,1,5,12,3,1
1,2,1,2,1,1,2,1,1,1,2, ,4,5,3, ,2, ,2, , , ,1
2,1,1,4,1,1,2,1,1,1,2, ,1,3,5, ,2, ,1,1,1,2,1
2,6,1,2,2, , , , ,1, , ,5,4,3, ,2, ,2,2,8,11,3
1,2,1,4,1,1,2,1,1,1,2, ,4,3,5, ,2, ,2, , , ,1
2,2,1,4,1,1,2,1,1,1,2, ,5,4,1, ,2, ,1,2,5,11,1
2,7,1,4,2,1, ,1,1,1, , ,4,5,1, ,2, ,1,9,2,11,3
2,3,1,2,2,1,2,1,1,1,1, ,5,4, , ,1, ,1,8,3,5,2
2,2,1,4,1,1,1,1,1,1,2, ,5,1,4, ,2, ,1,2,3,1,1
1,3,1,3,2,1,1,1,1,1,2, ,5,1,4, ,2, ,2, , , ,2
2,2,1,4,1,1,2,1,1,1,2, ,5,3,1, ,2, ,2, , , ,1
2,1,1,4,1,1,2,2,1,1,2, ,5,4,1, ,2, ,1,1,2,8,1
2,7,1,3,4,1,2,1,1,1,2,telegram,4,3,5, ,1,7,2, , , ,3
2,3,1,4,4,1,2,1,1,1,2, ,4,1,5, ,2, ,1,1,5,8,2
1,2,1,2,2,1,2,1,1,1,2, ,4,3,1, ,2, ,1,1,2,3,1
2,1,1,3,1,1,2,1,1,1,2, ,5,1,4, ,2, ,1,2,1,5,1
2,1,1,4,1,1,2, ,1,1,2, ,5,4,3, ,2, ,1,1,2,8,1
1,1,1,3,1,1,1,1,1,1,2, ,4,3,5, ,2, ,2, , , ,1
1,4,1,2,2,1,2,1,1,1,2, ,4,5,1, ,2, ,1,3,2,5,2
2,7,2,2,2, ,1,1,1,1, , ,2,5,3, ,2, ,2, , , ,3
2,7,1,5,2,1,2,1,2,1,2, ,5,1,3, ,2, ,2, , , ,3
2,2,2,4,1,1,1,1,1,1,2, ,4,1,3, ,1,2,1,2,1,9,1
2,1,1,4,1,1, ,1,1,1, , ,4,1,5, ,2, ,1,2,11,5,1
1,6,1,3,3,1,2,1,1,1,2, ,5,1,3, ,2, ,2, , , ,3
2,4,1,1,4, , , , ,1, , ,5,4, , ,2, ,1,1,2, ,2
2,1,1,4,1,1,2,1,1,1,2, ,4,3,5, ,2, ,1,1,2,3,1
2,7,1,3,3,1,2,1,1,1,2, ,4, , , ,2, ,2, , , ,3
2,2,1,4,4,2,2,1,1,1,2, ,5,4,3, ,2, ,1,8,11,2,1
2,7,1,4,3,1,2,1,1,1,2, ,5,4,3, ,2, ,1,2,3,2,3
2,4,1,3,2,2,2,1,1,1,2,Snap chat,5,4,3, ,2, ,1,2, , ,2
2,3,1,4,2,2,2,1,1,1,2, ,5,3,4, ,2, ,1,2,11,1,2
2,5,1,4,2,2,2,1,1,1,2,snapchat,5,4,3, ,2, ,1,2,1,5,2
2,1,2,2,1,2,2,1,2,1,2, ,5,3, , ,2, ,2, , , ,1
2,5,1,5,2,1, ,1,1,1,1, ,5,1,4, ,2, ,1,2,5,10,2
2,3,1,4,2,1,1,1,1,1,2, ,5,4,1, ,2, ,1,1,2,5,2
2,4,2,3,4,2,1,1,1,1,2, ,4,2,5, ,1,2,2, , , ,2
2,5,1,4,2,1,1,1,1,1,2, ,5,4,2, ,1,1,1,1,5,10,2
2,3,2,4,2,1,2,1,1,1,2, ,4,5,3, ,2, ,2,1, , ,2
2,6,1,5,2,1,1,1,1,1,1, ,4,5,2, ,2, ,1,10,3,7,3
2,6,1,3,2,2,2,1,1,1, , ,5,4,3, ,1,4,1,1,2,10,3
2,6,1,4,2,1,2,1,1,1,1, ,5,4,1, ,2, ,1,1,7,10,3
2,4,1,2,2,2,1,1,1,1,2, , , , , ,2, ,1,1,7,8,2
2,6,1,3,4,1, ,1,1,1, , ,4,1,5, ,2, ,2, , , ,3
2,7,1,1,4, , , ,2,2, , ,3,3,3, ,2, ,1,3,2,3,3
1,6,1,4,2,1,2,1,1,1,1, ,1,3,4, ,2, ,2, , , ,3
2,6,1,4,2,2,2,1,1,1,2, ,5,4,3, ,1,2,1,2,1,5,3
1,1,1,2,1,1,2,1,1,1,2, ,1,4,3, ,2, ,2,2, , ,1
2,6,1,4,2, , , ,1,1, , ,5,4, , ,2, ,2, , , ,3
2,6,1,3,2,1,1,1,1,1, , ,5,4,1, ,2, ,1,2,5,1,3
2,3,1,4,2,1,2,1,1,1,2, ,5,4,1, ,2, ,2, , , ,2
2,6,1,4,2,2,1,2,1,1,2, ,5,4,2, ,2, ,1,2,1,5,3
2,2,1,4,1,1,2,1,1,1,2,snapchat,5,1,4, ,1,9, ,2,1,9,1
2,4,1,4,2,1,1,1,1,1, , ,1,4,5, ,2, ,2, , , ,2
2,5,1,4,2,2,2,1,1,1,2, , , , , ,2, ,1,1, , ,2
2,5,1,5,2,1, , ,1,1, , ,5,1,4, ,2, ,1,2,1,9,2
2,6,1,2,4,2,2,1,1,1,2, ,5,4,3, ,2, ,2, , , ,3
2,6,1,3,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,5,3
2,8,1,3,3, , , , ,1, , ,5,4,3, ,2, ,1,2, , ,3
2,4,1,4,2,1,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,5,2
2,4,1,3,2,1,1,1,1,1, , ,5,4,3, ,2, ,1,2,11,1,2
2,6,2,2,2,2,1,1,1,1,2, ,5,2,4, ,2, ,1,2,3,5,3
2,6,1,4,2,1,1,1,1,1,2, ,5,2,1, ,1,5,1,2,8,4,3
1,5,1,4,2,2,2,1,1,1,2, ,5,4,3, ,1,10,1,3,10,12,2
2,5,1,3,2,1,2,1,1,1,2, ,1,4,5, ,2, ,1,9,1,2,2
2,6,1,4,3,2,1,1,1,1,2, ,4,3,5, ,2, ,2, , , ,3
2,2,3,4,4,1,2,1,1,1,2, ,5,4,3, ,1,1,2, , , ,1
2,2,1,2,1,2,2,1,1,1,2, ,5,3,4, ,2, ,1,2,5,11,1
1,2,1,4,1,1,2,1,1,1,2, ,5,3,4, ,2, ,1,1,12, ,1
2,4,1,4,2,1,2,1,1,1,2,snapchat,4,5,1, ,1,1,2, , , ,2
2,1,1,4,1,1,2,1,1,1,2,"Kik , tango , viber , ask",5,4,3, ,2, ,1,1,2,8,1
2,1,1,1,1,1,2,1,1,1,1,Snapchat,5,4,1, ,1,2,1,1,2,8,1
2,2,1,4,1,1,2,1,1,1,2,bbm,5,1,3, ,2, ,1,5,11,2,1
1,7,1,5,3,2,2,1,1,1,2, ,5,4,3, ,1,9,2,9, , ,3
2,1,1,3,1,2,2,1,1,1,2, ,5,4,3, ,2, ,1,5,8,2,1
